Book Id,ImageFile,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50795512,,A Seca,Jane Harper,"Harper, Jane",,859279580X,9788592795801,0,04.06,Morro Branco,Paperback,368,2019,2016,,2024/10/06,"2024, currently-reading, investigação","2024 (#34), currently-reading (#3), investigação (#4)",currently-reading,,,,1,0
61393740,,"O Caminho dos Reis (Os Relatos da Guerra das Tempestades, #1)",Brandon Sanderson,"Sanderson, Brandon","Pedro Ribeiro, Paulo Afonso",6589132682,9786589132684,0,4.66,Trama,Paperback,1240,2022,2010,,2024/10/02,"2024, fantasia, currently-reading","2024 (#33), fantasia (#23), currently-reading (#2)",currently-reading,,,,1,0
18243448,,"O Olho do Mundo (A Roda do Tempo, #1)",Robert Jordan,"Jordan, Robert",Fábio Fernandes,8580573610,9788580573619,0,4.19,Intrínseca,Paperback,800,2013,1990,,2024/10/01,"2024, to-read","2024 (#32), to-read (#20)",to-read,,,,0,0
40127922,,"Outsider (Holly Gibney, #1)",Stephen        King,"King, Stephen",Regiane Winarski,8556510671,9788556510679,5,04.01,Suma,Paperback,528,2018,2018,2024/10/01,2024/09/03,"2024, stephen-king","2024 (#27), stephen-king (#11)",read,,,,1,0
199118588,,"A maldição do verdadeiro amor (Era uma vez um coração partido, #3)",Stephanie Garber,"Garber, Stephanie",Lavínia Fávero,8582357176,9788582357170,0,4.13,Gutenberg,Kindle Edition,383,2023,2023,,2024/09/30,"2024, fantasia, romance, currently-reading","2024 (#31), fantasia (#22), romance (#14), currently-reading (#1)",currently-reading,,,,1,0
64412178,,"A balada do felizes para nunca (Era uma vez um coração partido, #2)",Stephanie Garber,"Garber, Stephanie",Lavínia Fávero,8582356870,9788582356876,3,4.51,Gutenberg,Paperback,336,2023,2022,2024/09/30,2024/09/28,"2024, fantasia","2024 (#30), fantasia (#21)",read,,,,1,0
60560389,,"Era uma vez um coração partido (Era uma vez um coração partido, #1)",Stephanie Garber,"Garber, Stephanie",Lavínia Fávero,858235648X,9788582356487,3,04.06,Gutenberg,Paperback,352,2022,2021,2022/06/23,2022/06/20,"2022, romance, 2024","2022 (#21), romance (#5), 2024 (#29)",read,"Misericórdia, que livro contraditório, enrolado, confuso, mal escrito, com a protagonista fútil se escondendo atrás de pensamentos benévolos e atitudes decepcionantes.<br/>O ponto é que como ela não acredita em magia? Se tua a sua volta é mágico<br/>Como sua busca por amor a deixa tão cega que não enxerga a verdade? Se todas as provas estão na sua frente<br/><br/>Releitura....  pois é... as escolhas que ela faz são bem questionáveis, mas se assemelha o que a gente pessoas reais fariam, sempre levando pela emoção ao invés do racional. Sempre querendo ver o melhor nas pessoas e não acreditar no irracional. Então vou aumentar 1 estrela, pois entendi melhor as escolhas da nossa protagonista, antes eu estava me vendo como um observador e não me colocando bo lugar dela.",,,2,0
57772710,,O Nariz,Nikolai Gogol,"Gogol, Nikolai","Nicholas Steinmetz, Lucas Simone",658649026X,9786586490268,3,3.71,Antofágica,Hardcover,160,2021,1836,2022/12/30,2022/12/28,"2022, conto","2022 (#37), conto (#1)",read,,,,1,0
59703886,,O Encanto dos Corvos,Margaret  Rogerson,"Rogerson, Margaret",Sofia Soter,659916613X,9786599166136,1,3.65,Literalize,Hardcover,344,2021,2017,2024/09/14,2024/09/07,"2024, fantasia","2024 (#28), fantasia (#20)",read,"Uma boa história, porém muito mal escrita. Tudo se passa muito rápido,",,,1,0
179260028,,Os perigos de fumar na cama,Mariana Enríquez,"Enríquez, Mariana",Elisa Menezes,6555606630,9786555606638,3,3.81,Intrínseca,Kindle Edition,141,2023,2009,2024/09/06,2024/09/01,"2024, conto","2024 (#26), conto (#2)",read,,,,1,0
